TimeStamp,Price,Area,PriceSqm,Rooms,Type,ApartmentFloor,TotalFloors,Year,Link,City,Neighborhood,Street
5/30/2022,79900,74.81,1068.039032,3,3 kambariu butas ,2,2,1940,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-paneriuose-kadugiu-g-7606267.html,Vilnius, Paneriuose, Kadugiu g.
5/30/2022,320000,100,3200,3,3 kambariu butas ,1,NULL,1940,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-senamiestyje-m-dauksos-g-7606237.html,Vilnius, Senamiestyje, M. Daukšos g.
5/30/2022,169900,43.88,3871.923428,2,2 kambariu butas ,5,9,2016,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-naujamiestyje-gelezinio-vilko-g-7606252.html,Vilnius, Naujamiestyje, Geležinio Vilko g.
5/30/2022,109990,46.39,2370.985126,2,2 kambariu butas ,2,5,2020,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-vilkpedeje-titnago-g-7606255.html,Vilnius, Vilkpedeje, Titnago g.
5/30/2022,66000,12.68,5205.047319,1,1 kambario butas ,4,NULL,2015,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-naujamiestyje-kauno-g-7606087.html,Vilnius, Naujamiestyje, Kauno g.
5/30/2022,169000,57,2964.912281,2,2 kambariu butas ,1,NULL,2007,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-vilkpedeje-slaito-g-7606084.html,Vilnius, Vilkpedeje, Šlaito g.
5/30/2022,169000,57,2964.912281,2,2 kambariu butas ,1,NULL,2007,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-naujamiestyje-slaito-g-7606081.html,Vilnius, Naujamiestyje, Šlaito g.
5/30/2022,120000,59,2033.898305,3,3 kambariu butas ,5,5,1962,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-antakalnyje-svyturio-g-7605997.html,Vilnius, Antakalnyje, Švyturio g.
5/30/2022,130000,46,2826.086957,2,2 kambariu butas ,4,5,1962,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-antakalnyje-pauliaus-sirvio-g-7606000.html,Vilnius, Antakalnyje, Pauliaus Širvio g.
5/30/2022,299900,108.11,2774.026455,4,4 kambariu butas ,11,NULL,2007,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-vilniuje-verkiuose-trinapolio-g-7605874.html,Vilnius, Verkiuose, Trinapolio g.
5/30/2022,299900,108.11,2774.026455,3,3 kambariu butas ,11,NULL,2007,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-verkiuose-trinapolio-g-7605877.html,Vilnius, Verkiuose, Trinapolio g.
5/30/2022,299900,108.11,2774.026455,4,4 kambariu butas ,11,NULL,2007,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-vilniuje-baltupiuose-trinapolio-g-7605871.html,Vilnius, Baltupiuose, Trinapolio g.
5/30/2022,59900,39.26,1525.72593,2,2 kambariu butas ,1,5,1985,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-naujoji-vilnia-parko-g-7605697.html,Vilnius, Naujoji Vilnia, Parko g.
5/30/2022,145000,67,2164.179104,3,3 kambariu butas ,2,12,1970,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-lazdynuose-architektu-g-7605613.html,Vilnius, Lazdynuose, Architektu g.
5/30/2022,169000,39.6,4267.676768,2,2 kambariu butas ,6,9,2021,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-zirmunuose-verkiu-g-7605544.html,Vilnius, Žirmunuose, Verkiu g.
5/30/2022,250000,77.03,3245.488771,3,3 kambariu butas ,2,3,2007,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-antakalnyje-pylimeliu-g-7605547.html,Vilnius, Antakalnyje, Pylimeliu g.
5/30/2022,86000,47.42,1813.580768,2,2 kambariu butas ,1,5,1976,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-virsuliskese-sesuoliu-g-7605526.html,Vilnius, Viršuliškese, Šešuoliu g.
5/30/2022,525000,148.81,3527.98871,5,5 kambariu butas ,2,3,1940,https://domoplius.lt/skelbimai/parduodamas-5-kambariu-butas-vilniuje-naujamiestyje-vinco-kudirkos-g-7605322.html,Vilnius, Naujamiestyje, Vinco Kudirkos g.
5/30/2022,198274,74.26,2669.997307,3,3 kambariu butas ,7,9,2021,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-virsuliskese-spaudos-g-7605241.html,Vilnius, Viršuliškese, Spaudos g.
5/30/2022,299000,66.39,4503.690315,3,3 kambariu butas ,5,5,1912,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-senamiestyje-zygimantu-g-7605292.html,Vilnius, Senamiestyje, Žygimantu g.
5/30/2022,178400,67.32,2650.029709,3,3 kambariu butas ,1,9,2021,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-virsuliskese-spaudos-g-7605235.html,Vilnius, Viršuliškese, Spaudos g.
5/30/2022,220886,83.04,2659.995183,3,3 kambariu butas ,7,9,2021,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-virsuliskese-spaudos-g-7605253.html,Vilnius, Viršuliškese, Spaudos g.
5/30/2022,196551,74.17,2650.006741,3,3 kambariu butas ,2,9,2021,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-virsuliskese-spaudos-g-7605256.html,Vilnius, Viršuliškese, Spaudos g.
5/30/2022,181900,67.37,2700.014843,3,3 kambariu butas ,9,9,2021,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-virsuliskese-spaudos-g-7605238.html,Vilnius, Viršuliškese, Spaudos g.
5/30/2022,199017,74.26,2680.002693,3,3 kambariu butas ,8,9,2021,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-virsuliskese-spaudos-g-7605244.html,Vilnius, Viršuliškese, Spaudos g.
5/30/2022,200502,74.26,2700,3,3 kambariu butas ,9,9,2021,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-virsuliskese-spaudos-g-7605247.html,Vilnius, Viršuliškese, Spaudos g.
5/30/2022,224208,83.04,2700,3,3 kambariu butas ,9,9,2021,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-virsuliskese-spaudos-g-7605250.html,Vilnius, Viršuliškese, Spaudos g.
5/30/2022,79800,32.59,2448.603866,1,1 kambario butas ,7,9,1978,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-pasilaiciuose-justiniskiu-g-7605301.html,Vilnius, Pašilaiciuose, Justiniškiu g.
5/30/2022,320000,107.14,2986.746313,3,3 kambariu butas ,2,NULL,1997,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-zveryne-stirnu-g-7605148.html,Vilnius, Žveryne, Stirnu g.
5/30/2022,320000,107.14,2986.746313,4,4 kambariu butas ,2,NULL,1997,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-vilniuje-zveryne-stirnu-g-7605145.html,Vilnius, Žveryne, Stirnu g.
5/30/2022,265000,70.72,3747.171946,3,3 kambariu butas ,2,3,2007,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-zveryne-paribio-g-7605079.html,Vilnius, Žveryne, Paribio g.
5/30/2022,69500,27.37,2539.27658,2,2 kambariu butas ,9,9,1972,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-naujininkuose-saltkalviu-g-7605088.html,Vilnius, Naujininkuose, Šaltkalviu g.
5/30/2022,39999,28.25,1415.893805,2,2 kambariu butas ,1,2,1940,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-naujininkuose-a-jaroseviciaus-g-7604974.html,Vilnius, Naujininkuose, A. Jaroševiciaus g.
5/30/2022,135000,35.86,3764.640268,1,1 kambario butas ,1,3,1940,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-snipiskese-kalvariju-g-7604953.html,Vilnius, Šnipiškese, Kalvariju g.
5/30/2022,110000,47,2340.425532,2,2 kambariu butas ,4,5,1968,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-zirmunuose-tuskulenu-g-7604896.html,Vilnius, Žirmunuose, Tuskulenu g.
